fips,county_name,year,days
42003,"Allegheny, Pennsylvania",2020,366
30063,"Missoula, Montana",2016,366
06073,"San Diego, California",2016,366
44007,"Providence, Rhode Island",2012,366
06019,"Fresno, California",2016,366
06065,"Riverside, California",2012,366
06071,"San Bernardino, California",2016,366
50007,"Chittenden, Vermont",2016,366
06037,"Los Angeles, California",2016,366
42101,"Philadelphia, Pennsylvania",2016,366
30049,"Lewis and Clark, Montana",2016,366
42071,"Lancaster, Pennsylvania",2012,366
29095,"Jackson, Missouri",2016,366
29510,"St Louis City, Missouri",2012,366
22033,"East Baton Rouge, Louisiana",2016,366
06039,"Madera, California",2020,366
06045,"Mendocino, California",2020,366
06079,"San Luis Obispo, California",2020,366
53053,"Pierce, Washington",2016,366
06083,"Santa Barbara, California",2020,366
27053,"Hennepin, Minnesota",2016,366
06085,"Santa Clara, California",2020,366
40143,"Tulsa, Oklahoma",2012,366
08077,"Mesa, Colorado",2020,366
11001,"District of Columbia, District of Columbia",2020,366
12011,"Broward, Florida",2020,366
19153,"Polk, Iowa",2020,366
56021,"Laramie, Wyoming",2016,366
20133,"Neosho, Kansas",2020,366
21227,"Warren, Kentucky",2020,366
25003,"Berkshire, Massachusetts",2020,366
26049,"Genesee, Michigan",2020,366
29095,"Jackson, Missouri",2020,366
30027,"Fergus, Montana",2016,366
32031,"Washoe, Nevada",2020,366
41039,"Lane, Oregon",2020,366
42125,"Washington, Pennsylvania",2020,366
45019,"Charleston, South Carolina",2020,366
48201,"Harris, Texas",2020,366
49011,"Davis, Utah",2020,366
49021,"Iron, Utah",2020,366
50003,"Bennington, Vermont",2020,366
27123,"Ramsey, Minnesota",2016,366
53053,"Pierce, Washington",2020,366
55009,"Brown, Wisconsin",2020,366
55027,"Dodge, Wisconsin",2020,366
56021,"Laramie, Wyoming",2020,366
53033,"King, Washington",2016,366
39049,"Franklin, Ohio",2016,366
30053,"Lincoln, Montana",2016,366
09003,"Hartford, Connecticut",2016,366
27137,"St Louis, Minnesota",2016,366
56035,"Sublette, Wyoming",2012,366
04013,"Maricopa, Arizona",2016,366
48201,"Harris, Texas",2012,366
15003,"Honolulu, Hawaii",2016,366
36081,"Queens, New York",2016,366
53053,"Pierce, Washington",2012,366
16041,"Franklin, Idaho",2012,366
06083,"Santa Barbara, California",2012,366
06099,"Stanislaus, California",2016,366
06077,"San Joaquin, California",2016,366
42125,"Washington, Pennsylvania",2012,366
18097,"Marion, Indiana",2016,366
42133,"York, Pennsylvania",2012,366
06065,"Riverside, California",2016,366
32031,"Washoe, Nevada",2012,366
06027,"Inyo, California",2016,366
35001,"Bernalillo, New Mexico",2012,366
55119,"Taylor, Wisconsin",2020,366
55087,"Outagamie, Wisconsin",2020,366
55035,"Eau Claire, Wisconsin",2020,366
45045,"Greenville, South Carolina",2016,366
11001,"District of Columbia, District of Columbia",2012,366
06111,"Ventura, California",2016,366
34021,"Mercer, New Jersey",2012,366
49035,"Salt Lake, Utah",2016,366
06079,"San Luis Obispo, California",2012,366
53033,"King, Washington",2020,366
06037,"Los Angeles, California",2012,366
12031,"Duval, Florida",2016,366
51059,"Fairfax, Virginia",2020,366
29510,"St Louis City, Missouri",2016,366
34021,"Mercer, New Jersey",2016,366
49045,"Tooele, Utah",2020,366
49005,"Cache, Utah",2020,366
42003,"Allegheny, Pennsylvania",2016,366
42101,"Philadelphia, Pennsylvania",2012,366
34017,"Hudson, New Jersey",2016,366
06079,"San Luis Obispo, California",2016,366
48113,"Dallas, Texas",2016,366
20195,"Trego, Kansas",2016,366
15001,"Hawaii, Hawaii",2012,366
26163,"Wayne, Michigan",2012,366
47145,"Roane, Tennessee",2012,366
32031,"Washoe, Nevada",2016,366
06029,"Kern, California",2012,366
18097,"Marion, Indiana",2012,366
27037,"Dakota, Minnesota",2016,366
42045,"Delaware, Pennsylvania",2020,366
26163,"Wayne, Michigan",2016,366
42125,"Washington, Pennsylvania",2016,366
06001,"Alameda, California",2012,366
19045,"Clinton, Iowa",2016,366
06019,"Fresno, California",2012,366
19045,"Clinton, Iowa",2012,366
11001,"District of Columbia, District of Columbia",2016,366
06077,"San Joaquin, California",2012,366
06099,"Stanislaus, California",2012,366
30049,"Lewis and Clark, Montana",2012,366
