fips,county_name,year,days
02013,"Aleutians East, Alaska",2024,366
02013,"Aleutians East, Alaska",2016,366
02013,"Aleutians East, Alaska",2020,366
02013,"Aleutians East, Alaska",2012,366
02240,"Southeast Fairbanks, Alaska",2024,366
02240,"Southeast Fairbanks, Alaska",2016,366
02240,"Southeast Fairbanks, Alaska",2020,366
02240,"Southeast Fairbanks, Alaska",2012,366
04023,"Santa Cruz, Arizona",2024,366
04023,"Santa Cruz, Arizona",2016,366
04023,"Santa Cruz, Arizona",2020,366
04023,"Santa Cruz, Arizona",2012,366
05145,"White, Arkansas",2016,366
06047,"Merced, California",2024,366
06047,"Merced, California",2016,366
06047,"Merced, California",2020,366
06047,"Merced, California",2012,366
12113,"Santa Rosa, Florida",2024,366
12113,"Santa Rosa, Florida",2016,366
12113,"Santa Rosa, Florida",2020,366
12113,"Santa Rosa, Florida",2012,366
13099,"Early, Georgia",2016,366
13099,"Early, Georgia",2020,366
17021,"Christian, Illinois",2024,366
17021,"Christian, Illinois",2016,366
17021,"Christian, Illinois",2020,366
17021,"Christian, Illinois",2012,366
18033,"De Kalb, Indiana",2020,366
19111,"Lee, Iowa",2024,366
19111,"Lee, Iowa",2016,366
19111,"Lee, Iowa",2020,366
19111,"Lee, Iowa",2012,366
22101,"St Mary, Louisiana",2016,366
22101,"St Mary, Louisiana",2020,366
22101,"St Mary, Louisiana",2012,366
23009,"Hancock, Maine",2024,366
23009,"Hancock, Maine",2016,366
23009,"Hancock, Maine",2020,366
26163,"Wayne, Michigan",2024,366
26163,"Wayne, Michigan",2016,366
26163,"Wayne, Michigan",2020,366
26163,"Wayne, Michigan",2012,366
27065,"Kanabec, Minnesota",2016,366
27065,"Kanabec, Minnesota",2020,366
27161,"Waseca, Minnesota",2024,366
30111,"Yellowstone, Montana",2024,366
30111,"Yellowstone, Montana",2016,366
30111,"Yellowstone, Montana",2020,366
30111,"Yellowstone, Montana",2012,366
34035,"Somerset, New Jersey",2024,366
34035,"Somerset, New Jersey",2016,366
34035,"Somerset, New Jersey",2020,366
35031,"Mckinley, New Mexico",2016,366
35031,"Mckinley, New Mexico",2020,366
35031,"Mckinley, New Mexico",2012,366
35035,"Otero, New Mexico",2024,366
35035,"Otero, New Mexico",2016,366
35035,"Otero, New Mexico",2020,366
35035,"Otero, New Mexico",2012,366
38013,"Burke, North Dakota",2024,366
38013,"Burke, North Dakota",2016,366
38013,"Burke, North Dakota",2020,366
