fips,state_name,county_name,month,haz_days
06071,California,San Bernardino,8,29.2
06071,California,San Bernardino,7,28.2
06071,California,San Bernardino,6,25.2
06065,California,Riverside,6,23.6
06065,California,Riverside,8,23.4
06107,California,Tulare,8,23.2
06037,California,Los Angeles,8,23.2
06065,California,Riverside,7,21.8
06029,California,Kern,8,21.6
06107,California,Tulare,7,21.2
06037,California,Los Angeles,7,20.6
06037,California,Los Angeles,6,20.2
06029,California,Kern,7,19.0
06019,California,Fresno,8,18.4
06107,California,Tulare,6,18.0
06071,California,San Bernardino,9,17.4
06029,California,Kern,6,16.8
06019,California,Fresno,7,14.8
06019,California,Fresno,6,14.2
06107,California,Tulare,9,13.8
06029,California,Kern,9,13.2
06019,California,Fresno,9,12.0
06037,California,Los Angeles,9,12.0
06065,California,Riverside,4,11.8
06065,California,Riverside,9,11.6
06071,California,San Bernardino,5,11.2
06065,California,Riverside,5,10.2
06057,California,Nevada,8,10.2
06071,California,San Bernardino,4,10.0
06057,California,Nevada,7,9.8
04013,Arizona,Maricopa,6,9.8
32003,Nevada,Clark,6,9.0
06031,California,Kings,11,8.8
06073,California,San Diego,6,8.6
06031,California,Kings,8,8.2
32003,Nevada,Clark,7,8.0
49035,Utah,Salt Lake,6,8.0
06029,California,Kern,10,8.0
06099,California,Stanislaus,7,8.0
49035,Utah,Salt Lake,7,7.6
06039,California,Madera,8,7.6
06107,California,Tulare,11,7.4
06099,California,Stanislaus,8,7.2
09001,Connecticut,Fairfield,7,7.2
04013,Arizona,Maricopa,7,7.2
04013,Arizona,Maricopa,8,7.2
06025,California,Imperial,6,7.0
06047,California,Merced,8,6.8
06031,California,Kings,6,6.8
06031,California,Kings,1,6.6
06057,California,Nevada,6,6.6
06031,California,Kings,9,6.6
06031,California,Kings,7,6.6
02090,Alaska,Fairbanks North Star,1,6.4
06107,California,Tulare,12,6.2
06031,California,Kings,12,6.2
06107,California,Tulare,1,6.2
06073,California,San Diego,8,6.0
06007,California,Butte,8,6.0
09001,Connecticut,Fairfield,8,5.8
49047,Utah,Uintah,2,5.8
06073,California,San Diego,7,5.8
06037,California,Los Angeles,4,5.6
06037,California,Los Angeles,5,5.6
49035,Utah,Salt Lake,8,5.6
06099,California,Stanislaus,6,5.6
06039,California,Madera,9,5.4
06039,California,Madera,7,5.4
09009,Connecticut,New Haven,7,5.4
06047,California,Merced,7,5.4
06099,California,Stanislaus,12,5.4
06029,California,Kern,5,5.2
04013,Arizona,Maricopa,5,5.2
06019,California,Fresno,10,5.2
06037,California,Los Angeles,10,5.2
06101,California,Sutter,8,5.2
35013,New Mexico,Dona Ana,8,5.2
48201,Texas,Harris,8,5.0
08069,Colorado,Larimer,7,5.0
06039,California,Madera,6,5.0
17031,Illinois,Cook,7,5.0
06071,California,San Bernardino,10,5.0
16001,Idaho,Ada,8,5.0
06067,California,Sacramento,6,4.8
48439,Texas,Tarrant,8,4.8
06107,California,Tulare,5,4.8
06067,California,Sacramento,7,4.8
06019,California,Fresno,5,4.6
06067,California,Sacramento,8,4.6
06065,California,Riverside,10,4.6
32003,Nevada,Clark,8,4.6
06107,California,Tulare,10,4.6
06099,California,Stanislaus,9,4.6
17031,Illinois,Cook,6,4.6
02090,Alaska,Fairbanks North Star,2,4.4
49013,Utah,Duchesne,2,4.4
49057,Utah,Weber,8,4.4
30049,Montana,Lewis and Clark,8,4.4
06019,California,Fresno,12,4.4
06073,California,San Diego,4,4.2
36103,New York,Suffolk,7,4.2
48121,Texas,Denton,8,4.2
49057,Utah,Weber,7,4.2
08069,Colorado,Larimer,8,4.2
48201,Texas,Harris,6,4.2
35013,New Mexico,Dona Ana,7,4.0
08013,Colorado,Boulder,7,4.0
42101,Pennsylvania,Philadelphia,7,4.0
49011,Utah,Davis,7,4.0
06099,California,Stanislaus,11,4.0
06057,California,Nevada,9,3.8
48201,Texas,Harris,9,3.8
02090,Alaska,Fairbanks North Star,12,3.8
04013,Arizona,Maricopa,4,3.8
53063,Washington,Spokane,8,3.8
09001,Connecticut,Fairfield,6,3.8
49005,Utah,Cache,1,3.8
53033,Washington,King,8,3.8
06029,California,Kern,4,3.8
39085,Ohio,Lake,7,3.8
24005,Maryland,Baltimore,7,3.8
06061,California,Placer,8,3.8
06077,California,San Joaquin,1,3.6
35013,New Mexico,Dona Ana,6,3.6
06025,California,Imperial,5,3.6
06067,California,Sacramento,9,3.6
06047,California,Merced,6,3.6
06047,California,Merced,9,3.4
49049,Utah,Utah,8,3.4
06061,California,Placer,7,3.4
49049,Utah,Utah,7,3.4
08067,Colorado,La Plata,6,3.4
08069,Colorado,Larimer,6,3.4
48439,Texas,Tarrant,9,3.2
39061,Ohio,Hamilton,6,3.2
08013,Colorado,Boulder,8,3.2
48141,Texas,El Paso,8,3.2
06039,California,Madera,1,3.2
49057,Utah,Weber,6,3.2
06059,California,Orange,6,3.2
06047,California,Merced,1,3.2
06047,California,Merced,11,3.2
37087,North Carolina,Haywood,2,3.2
06039,California,Madera,12,3.2
06073,California,San Diego,10,3.2
32031,Nevada,Washoe,8,3.2
34007,New Jersey,Camden,7,3.2
04013,Arizona,Maricopa,9,3.0
09009,Connecticut,New Haven,8,3.0
32031,Nevada,Washoe,7,3.0
06077,California,San Joaquin,8,3.0
48201,Texas,Harris,5,3.0
49011,Utah,Davis,8,3.0
48201,Texas,Harris,10,3.0
06031,California,Kings,10,3.0
06077,California,San Joaquin,11,3.0
06099,California,Stanislaus,1,3.0
30027,Montana,Fergus,8,3.0
06031,California,Kings,2,3.0
47163,Tennessee,Sullivan,1,3.0
06025,California,Imperial,7,3.0
42017,Pennsylvania,Bucks,7,3.0
42003,Pennsylvania,Allegheny,5,3.0
06001,California,Alameda,8,3.0
06047,California,Merced,12,2.8
37087,North Carolina,Haywood,4,2.8
21111,Kentucky,Jefferson,6,2.8
06111,California,Ventura,6,2.8
06073,California,San Diego,5,2.8
06077,California,San Joaquin,12,2.8
06073,California,San Diego,9,2.8
09001,Connecticut,Fairfield,5,2.8
48029,Texas,Bexar,8,2.8
48141,Texas,El Paso,6,2.8
06071,California,San Bernardino,3,2.8
55059,Wisconsin,Kenosha,7,2.8
06019,California,Fresno,4,2.8
17119,Illinois,Madison,6,2.8
06007,California,Butte,7,2.8
06059,California,Orange,9,2.8
06027,California,Inyo,7,2.6
53073,Washington,Whatcom,8,2.6
06077,California,San Joaquin,7,2.6
48121,Texas,Denton,5,2.6
47163,Tennessee,Sullivan,4,2.6
34023,New Jersey,Middlesex,6,2.6
48201,Texas,Harris,4,2.6
34003,New Jersey,Bergen,7,2.6
48439,Texas,Tarrant,7,2.6
48439,Texas,Tarrant,6,2.6
39085,Ohio,Lake,6,2.6
42017,Pennsylvania,Bucks,6,2.6
06007,California,Butte,11,2.6
06027,California,Inyo,8,2.6
34007,New Jersey,Camden,6,2.6
06019,California,Fresno,1,2.6
06097,California,Sonoma,11,2.6
36081,New York,Queens,7,2.6
53053,Washington,Pierce,8,2.6
24005,Maryland,Baltimore,6,2.6
47163,Tennessee,Sullivan,11,2.6
48121,Texas,Denton,6,2.6
06095,California,Solano,11,2.4
06025,California,Imperial,4,2.4
06101,California,Sutter,7,2.4
06057,California,Nevada,10,2.4
56035,Wyoming,Sublette,3,2.4
18043,Indiana,Floyd,6,2.4
49045,Utah,Tooele,7,2.4
26163,Michigan,Wayne,7,2.4
06061,California,Placer,9,2.4
39017,Ohio,Butler,6,2.4
06041,California,Marin,11,2.4
06027,California,Inyo,6,2.4
02090,Alaska,Fairbanks North Star,6,2.4
06081,California,San Mateo,11,2.4
37087,North Carolina,Haywood,3,2.4
34003,New Jersey,Bergen,6,2.4
06085,California,Santa Clara,11,2.4
06055,California,Napa,11,2.4
06077,California,San Joaquin,9,2.4
06001,California,Alameda,11,2.4
06075,California,San Francisco,11,2.4
06065,California,Riverside,3,2.4
24003,Maryland,Anne Arundel,7,2.4
41067,Oregon,Washington,8,2.4
06111,California,Ventura,9,2.4
48113,Texas,Dallas,8,2.4
24033,Maryland,Prince Georges,7,2.4
42101,Pennsylvania,Philadelphia,6,2.4
12057,Florida,Hillsborough,5,2.2
39035,Ohio,Cuyahoga,7,2.2
06111,California,Ventura,7,2.2
06019,California,Fresno,11,2.2
24005,Maryland,Baltimore,9,2.2
06059,California,Orange,10,2.2
55059,Wisconsin,Kenosha,6,2.2
55059,Wisconsin,Kenosha,5,2.2
26147,Michigan,St Clair,5,2.2
06001,California,Alameda,6,2.2
30031,Montana,Gallatin,8,2.2
06039,California,Madera,11,2.2
48141,Texas,El Paso,7,2.2
06013,California,Contra Costa,11,2.2
09001,Connecticut,Fairfield,9,2.2
37173,North Carolina,Swain,11,2.2
38105,North Dakota,Williams,6,2.2
06101,California,Sutter,9,2.2
09009,Connecticut,New Haven,6,2.2
48201,Texas,Harris,7,2.2
06107,California,Tulare,2,2.2
36005,New York,Bronx,7,2.2
13121,Georgia,Fulton,6,2.2
06029,California,Kern,11,2.2
47163,Tennessee,Sullivan,3,2.0
41051,Oregon,Multnomah,8,2.0
06079,California,San Luis Obispo,8,2.0
06031,California,Kings,5,2.0
49011,Utah,Davis,6,2.0
18163,Indiana,Vanderburgh,6,2.0
48167,Texas,Galveston,6,2.0
49045,Utah,Tooele,6,2.0
36061,New York,New York,7,2.0
24510,Maryland,Baltimore City,7,2.0
06077,California,San Joaquin,6,2.0
10003,Delaware,New Castle,6,2.0
06055,California,Napa,10,2.0
06073,California,San Diego,2,2.0
18127,Indiana,Porter,6,2.0
34017,New Jersey,Hudson,7,2.0
11001,District of Columbia,District of Columbia,7,2.0
02090,Alaska,Fairbanks North Star,7,2.0
48167,Texas,Galveston,8,2.0
06059,California,Orange,7,2.0
49057,Utah,Weber,2,2.0
08045,Colorado,Garfield,6,2.0
36103,New York,Suffolk,6,2.0
06061,California,Placer,6,2.0
34023,New Jersey,Middlesex,7,2.0
18097,Indiana,Marion,6,2.0
06101,California,Sutter,6,2.0
36103,New York,Suffolk,8,2.0
49045,Utah,Tooele,8,2.0
47157,Tennessee,Shelby,6,2.0
