state_name,county_name,year,month,log_traffic,mean
Oregon,Jackson,2018,8,4.9660384287931914,75.71
Oregon,Jackson,2017,9,4.8994921961381319,62.490909090909085
California,San Joaquin,2018,11,4.2160074681083124,50.245555555555555
California,Alameda,2018,11,6.0503917446346724,44.372674418604639
Washington,Yakima,2017,9,4.0227581942367694,41.950819672131146
Montana,Flathead,2017,9,4.723389989264053,39.686666666666667
Washington,Spokane,2017,9,5.4487001377332227,39.513793103448279
Washington,Spokane,2018,8,5.5631760228616951,39.432258064516127
Montana,Missoula,2015,8,4.9027369792965931,38.384482758620685
California,Sonoma,2018,11,4.5349647923946659,38.233333333333327
California,Fresno,2017,12,5.1229756383734042,37.703398058252432
Colorado,La Plata,2018,6,4.5449976797003977,37.175
Oregon,Lane,2017,9,4.9806077797750676,37.114000000000011
Montana,Flathead,2015,8,4.873959654743353,36.743750000000006
Oregon,Jackson,2018,7,5.0131322760460035,36.418181818181814
Oregon,Jackson,2015,8,4.86410151204742,35.815384615384616
Montana,Flathead,2018,8,4.9666719524702323,34.99032258064517
Oregon,Jackson,2017,8,4.9530392961591305,34.910000000000004
California,San Mateo,2018,11,6.6455563689982995,34.570000000000007
Montana,Missoula,2017,8,4.9682353768462528,33.727419354838716
Montana,Missoula,2017,9,4.8333830081263764,33.658333333333331
California,Santa Clara,2018,11,6.0914168585710931,33.508823529411771
California,Fresno,2015,1,5.0246046924080119,32.647305389221557
California,Sacramento,2018,11,6.0262757982641393,32.078787878787871
California,San Joaquin,2017,12,4.1741761469922372,31.208333333333329
Washington,Yakima,2018,8,4.0394141191761372,30.350769230769224
California,Kern,2015,1,4.2602622447149772,26.148275862068967
California,Fresno,2018,11,5.16173624759625,25.885051546391754
Tennessee,Blount,2016,11,5.1871285507526483,25.811111111111114
California,Santa Barbara,2017,12,4.7007815717267318,25.093277310924375
California,Kern,2017,12,4.1899672983512719,25.052586206896549
Pennsylvania,Erie,2015,2,4.0733883811151781,24.9
Montana,Gallatin,2016,8,5.1004498138597931,24.677777777777777
Washington,King,2018,8,6.6999864527595721,23.883739837398377
California,Fresno,2018,8,5.1814948695140934,23.815942028985511
California,Sacramento,2015,1,5.8207123254750677,23.082608695652176
Washington,Yakima,2017,1,4.0871067440990929,22.75
Idaho,Canyon,2015,1,4.7559662764668307,22.7
California,Fresno,2018,1,5.0843116887783335,22.350746268656714
Washington,Spokane,2017,8,5.5305518591674918,22.248387096774195
North Carolina,Buncombe,2016,11,4.8602721086158374,22.1
Idaho,Canyon,2018,8,5.3363836756205991,21.759999999999998
Utah,Salt Lake,2015,1,6.2134045866258907,21.417821782178216
Oregon,Jackson,2015,1,4.68930885912362,21.346153846153843
Oregon,Jackson,2017,12,4.87742894078822,21.325
