month,n
2010-01-01,72604
2010-02-01,65830
2010-03-01,73421
2010-04-01,71044
2010-05-01,73806
2010-06-01,71423
2010-07-01,74276
2010-08-01,75263
2010-09-01,73125
2010-10-01,75728
2010-11-01,73247
2010-12-01,75668
2011-01-01,75486
2011-02-01,68561
2011-03-01,75742
2011-04-01,73310
2011-05-01,76012
2011-06-01,73990
2011-07-01,75910
2011-08-01,75879
2011-09-01,73741
2011-10-01,76325
2011-11-01,74008
2011-12-01,76579
2012-01-01,76171
2012-02-01,71420
2012-03-01,76400
2012-04-01,74056
2012-05-01,76627
2012-06-01,74177
2012-07-01,76507
2012-08-01,76798
2012-09-01,74753
2012-10-01,77376
2012-11-01,74920
2012-12-01,77179
2013-01-01,77156
2013-02-01,69536
2013-03-01,77202
2013-04-01,75116
2013-05-01,77492
2013-06-01,74839
2013-07-01,77185
2013-08-01,76162
2013-09-01,73895
2013-10-01,76409
2013-11-01,73616
2013-12-01,76030
2014-01-01,76119
2014-02-01,69179
2014-03-01,77004
2014-04-01,74602
2014-05-01,77345
2014-06-01,73186
2014-07-01,76094
2014-08-01,78164
2014-09-01,75792
2014-10-01,78604
2014-11-01,76317
2014-12-01,78658
2015-01-01,78164
2015-02-01,70586
2015-03-01,78247
2015-04-01,75823
2015-05-01,78471
2015-06-01,76345
2015-07-01,78637
2015-08-01,78364
2015-09-01,76364
2015-10-01,78970
2015-11-01,75851
2015-12-01,77318
2016-01-01,78196
2016-02-01,73350
2016-03-01,78622
2016-04-01,76032
2016-05-01,78603
2016-06-01,76201
2016-07-01,78664
2016-08-01,78964
2016-09-01,76500
2016-10-01,78791
2016-11-01,75987
2016-12-01,78702
2017-01-01,78610
2017-02-01,71639
2017-03-01,79647
2017-04-01,77218
2017-05-01,80361
2017-06-01,77345
2017-07-01,79805
2017-08-01,79759
2017-09-01,77523
2017-10-01,76957
2017-11-01,73006
2017-12-01,74212
2018-01-01,83018
2018-02-01,74885
2018-03-01,83145
2018-04-01,78976
2018-05-01,72258
2018-06-01,68638
2018-07-01,70843
2018-08-01,70973
2018-09-01,67795
2018-10-01,70725
2018-11-01,67724
2018-12-01,70455
2019-01-01,80002
2019-02-01,72513
2019-03-01,80506
2019-04-01,77259
2019-05-01,80037
2019-06-01,76957
2019-07-01,79638
2019-08-01,80064
2019-09-01,77800
2019-10-01,80262
2019-11-01,77512
2019-12-01,80261
2020-01-01,81312
2020-02-01,76266
2020-03-01,81423
2020-04-01,78545
2020-05-01,80975
2020-06-01,78648
2020-07-01,80549
2020-08-01,81042
2020-09-01,78135
2020-10-01,80819
2020-11-01,77861
2020-12-01,80780
2021-01-01,80018
2021-02-01,70805
2021-03-01,79008
2021-04-01,78272
2021-05-01,81498
2021-06-01,78619
2021-07-01,80833
2021-08-01,80543
2021-09-01,77707
2021-10-01,80446
2021-11-01,78379
2021-12-01,80875
2022-01-01,80957
2022-02-01,73370
2022-03-01,81360
2022-04-01,78703
2022-05-01,81167
2022-06-01,78043
2022-07-01,80302
2022-08-01,80356
2022-09-01,77791
2022-10-01,79574
2022-11-01,78289
2022-12-01,79708
2023-01-01,79459
2023-02-01,72283
2023-03-01,80264
2023-04-01,77991
2023-05-01,80819
2023-06-01,78084
2023-07-01,80316
2023-08-01,80587
2023-09-01,78069
2023-10-01,80862
2023-11-01,78154
2023-12-01,80744
2024-01-01,80340
2024-02-01,75480
2024-03-01,78854
2024-04-01,78248
2024-05-01,80302
2024-06-01,77960
2024-07-01,80052
2024-08-01,79933
2024-09-01,77158
2024-10-01,79414
2024-11-01,75424
2024-12-01,78748
